JUDUL,PENULIS,RATING_AVG,TOTAL_RATINGS,TOTAL_REVIEWS,GENRES,PENERBIT,TAHUN_TERBIT,NAMA_FILE_GAMBAR,warna_h,warna_s,warna_v,warna_r,warna_g,warna_b,warna_kategori,warna_hex_dominan,POPULARITY_SCORE
Kisah Tanah Jawa,@kisahtanahjawa,4.11,642.0,96.0,"Horor, Nonfiksi, Sastra Indonesia, Misteri, Indonesian Literature",Gagas Media,2019,2019_Gagas_Media_Kisah_Tanah_Jawa.jpg,13.0,70.0,33.0,33.0,28.0,24.0,Merah,#211c18,4.038860074488989
A Man Called #AHOK: Sepenggal Kisah Perjuangan & Ketulusan,@kurawa,4.24,280.0,27.0,"Nonfiksi, Biografi, Sastra Indonesia, Indonesian Literature",@kurawa,2016,2016_@kurawa_A_Man_Called_#AHOK_Sepenggal_K.jpg,0.0,1.0,238.0,238.0,237.0,237.0,Abu-abu/Putih,#eeeded,4.057564241313783
Diary Cinta Muslimah: Mencintai Allah Menapaki Kemuliaan,@nashihatku,4.11,9.0,1.0,Indonesian Literature,Salam Books,2016,2016_Salam_Books_Diary_Cinta_Muslimah_Mencintai.jpg,0.0,103.0,235.0,235.0,141.0,140.0,Merah,#eb8d8c,3.8878740800263896
Dear Allah Terima Kasih Untukmu- Mensyukuri Nikmat Wujudkan Kebahagiaan,@nashihatku,4.17,6.0,1.0,Indonesian Literature,Salam Books,2017,2017_Salam_Books_Dear_Allah_Terima_Kasih_Untukm.jpg,90.0,1.0,252.0,251.0,252.0,252.0,Abu-abu/Putih,#fbfcfc,3.886836390746387
Berburu Surga Pake Iman Let's Go!,@nashihatku,4.75,4.0,0.0,Indonesian Literature,Salam Books,2016,2016_Salam_Books_Berburu_Surga_Pake_Iman_Let's_.jpg,28.0,213.0,250.0,250.0,233.0,41.0,Kuning,#fae929,3.892816519583532
"Sakinah, Mawadah, Rahmah",@Nasihatku,4.33,3.0,1.0,Indonesian Literature,Salam Books,2018,"2018_Salam_Books_Sakinah,_Mawadah,_Rahmah.jpg",0.0,0.0,250.0,250.0,250.0,250.0,Abu-abu/Putih,#fafafa,3.885572093645409
Halal Lifestyle,@Nasihatku,3.83,6.0,1.0,Indonesian Literature,Salam Books,2018,2018_Salam_Books_Halal_Lifestyle.jpg,45.0,2.0,249.0,248.0,249.0,247.0,Abu-abu/Putih,#f8f9f7,3.879926991931823
"Dear Allah, Baguskanlah Akhlakku",@Nasihatku,4.67,3.0,1.0,Indonesian Literature,Salam Books,2018,"2018_Salam_Books_Dear_Allah,_Baguskanlah_Akhlak.jpg",14.0,29.0,204.0,204.0,192.0,181.0,Abu-abu/Putih,#ccc0b5,3.889062256177488
Bukan Cinta Biasa,@Nasihatku,4.4,5.0,1.0,Indonesian Literature,Salam Books,2018,2018_Salam_Books_Bukan_Cinta_Biasa.jpg,101.0,252.0,201.0,2.0,130.0,201.0,Biru,#0282c9,3.889782308811794
How to Find True Love & Other Stories,A.S. Laksana,5.0,1.0,0.0,"Sastra Indonesia, Indonesian Literature",The Lontar Foundation,2015,2015_The_Lontar_Foundatio_How_to_Find_True_Love_&_Other_.jpg,88.0,100.0,202.0,123.0,202.0,197.0,Biru,#7bcac5,3.8848180684508895
